county,murder_count,rape_count,robbery_count,assault_count,burglary_count,larceny_count,auto_theft_count
Atlantic,17,55,183,410,793,3978,283
Bergen,9,62,135,355,734,5729,670
Burlington,11,96,100,426,630,3620,301
Camden,29,95,426,1356,1156,7723,760
Cape May,0,19,25,110,237,1559,60
Cumberland,8,39,154,468,593,2446,153
Essex,78,193,740,1543,1196,7215,2837
Gloucester,7,14,81,244,579,3069,194
Hudson,19,115,534,1262,1010,7381,844
Hunterdon,1,2,1,22,77,370,28
Mercer,41,103,343,1016,863,3621,478
Middlesex,11,86,224,763,890,6245,643
Monmouth,1,91,170,509,734,6107,435
Morris,4,19,35,137,350,2332,254
Ocean,9,58,88,394,709,3930,173
Passaic,31,69,579,1263,923,4722,593
Salem,16,24,53,106,223,615,77
Somerset,4,21,48,64,305,2037,201
Sussex,2,17,1,39,96,387,32
Union,31,89,455,843,745,5832,1229
Warren,0,14,13,48,146,824,42
